Author,Books,Book count,Percentage of total books,Total text size (mb),Word Count per Author,Character Count per Author,Characters per word,Percentage of total word count,Percentage of Total text size,Words per book (WPB),Words per mb (WPMb),WPMb compared to average
Brandon Sanderson,"The Final Empire
The Hero of Ages
The Gatherin
The Way of Kings
The Well of Ascension",5,4.90%,7.76,1384299,8022084,5.8,6.81%,7.02%,276860,178389,0.97
C. S. Lewis,"Last Battle
The horse and his boy
The Lion, the Witch and the War
The magician's nephew
The silver chair
The voyage of the Dawn Treader
Prince Caspian",7,6.86%,1.69,319105,1726743,5.41,1.57%,1.53%,45586,188820,1.03
Christopher Paolini,"Eragon
Eldest
Brisingr",3,2.94%,3.51,629820,3612676,5.74,3.10%,3.17%,209940,179436,0.98
David Eddings,"Enchanter's End Game
Magician's Gambit
Pawn of Prophecy
Castle of Wizardry
Queen of Sorcery",5,4.90%,2.89,528051,3032168,5.74,2.60%,2.61%,105610,182717,0.99
Fred Saberhagen,"The Broken Lands
The Black Mountains
Changeling Earth",3,2.94%,0.94,173849,966727,5.56,0.86%,0.85%,57950,184162,1
Garth Nix,"Abhorsen 
Sabriel
Lirael",3,2.94%,1.82,330083,1877293,5.69,1.62%,1.65%,110028,181364,0.99
Gene Wolfe,"Shadow and claw
Sword and citadel",2,1.96%,1.97,388113,2073435,5.34,1.91%,1.78%,194057,197012,1.07
George R. R. Martin,"A Clash of Kings
A Game Of Thrones
A Feast for Crows
A Dance with Dragons
A Storm of Swords",5,4.90%,9.31,1745214,9512245,5.45,8.58%,8.42%,349043,187456,1.02
Guy Gavriel Kay,"The Summer Tree
The Wandering Fire
The Darkest Road",3,2.94%,1.98,373211,2057352,5.51,1.84%,1.79%,124404,188490,1.03
J. K. Rowling,"Harry Potter and the Chamber of secrets
Harry Potter and the Deathly Hallows
Harry Potter and the Goblet of fire
Harry Potter and the Half-Blood prince
Harry Potter and the Order of the phoenix
Harry Potter and the Prisoner of azkaban
Harry Potter and the Sorcerer's stone",7,6.86%,6.29,1104023,6352815,5.75,5.43%,5.69%,157718,175520,0.96
J. R. R. Tolkien,"The Children of Hurin
The Fellowship of the Ring
The Hobbit
The Return of the King
The Two Towers",5,4.90%,3.3,636241,3403110,5.35,3.13%,2.98%,127248,192800,1.05
Joe Abercrombie,"Last Argument Of Kings
Before They Are Hanged
The Blade Itself",3,2.94%,3.33,619176,3468341,5.6,3.05%,3.01%,206392,185939,1.01
Patrick Rothfuss,"The Name of the Wind
The Wise Man's Fear",2,1.96%,3.53,653713,3595077,5.5,3.22%,3.19%,326857,185188,1.01
Robert Jordan,"New spring
The Dragon Reborn
The Eye of the World
The great hunt
The shadow rising
The Fires of
Lord of Chao
A Crown of S
The Path of
Winter's Hea
Crossroads o
Knife of Dre 
Towers of Midnight
A memory of light",14,13.73%,21.8,4074024,22582413,5.54,20.04%,19.71%,291002,186882,1.02
Scott Bakker,"The Darkness that Comes Before
The Thousandfold Thought
The Warrior Prophet",3,2.94%,3,510086,3073581,6.03,2.51%,2.71%,170029,170029,0.93
Stephen King,"Song of Susannah
The Dark Tower
The drawing of the three
The gunslinger
Wizard and glass
Wolves of the Calla
The Wind Through the Keyhole
The waste lands",8,7.84%,7.34,1342947,7484989,5.57,6.61%,6.64%,167868,182963,1
Stephen R. Lawhead,"Taliesin
Merlin
Arthur
Pendragon
Grail
Avalon",6,5.88%,5.03,936893,5217863,5.57,4.61%,4.55%,156149,186261,1.01
Steven Erikson,"Toll the Hounds
Gardens of the Moon
The Crippled God
DeadHouse Gates
Memories of Ice
House of Chains
Midnight Tides
The Bonehunters
Reaper's Gale
Dust of Dreams",10,9.80%,18.2,3263937,18877932,5.78,16.06%,16.45%,326394,179337,0.98
Tad Williams,"The Dragonbone Chair
The Stone of Farewell
To Green Angel Tower, Volume 1
To Green Angel Tower, Volume 2",4,3.92%,5.96,1073825,6110331,5.69,5.28%,5.39%,268456,180172,0.98
Ursula K Le Guin,"Earthsea
Tehanu
The Farthest Shore
The Tombs of Atuan",4,3.92%,0.96,242246,1290797,5.33,1.19%,0.87%,60562,251293,1.37
Total:,,102,100.00%,110.62,20328856,114337972,N/A,100.00%,100.00%,199303,183775,
Mean,,5.1,,5.53,1016442.8,5716899,5.6,N/A,N/A,186608,187211,
